activity_nr,opt_type,opt_id,opt_value,opt_info_id,load_dt
336306584,N,1,630699,,2020-08-17 00:28:11 EDT
336306584,N,6,623095,,2020-08-17 00:28:11 EDT
336306782,N,1,630678,,2020-08-17 00:28:11 EDT
336306790,N,1,630679,,2020-08-17 00:28:11 EDT
336306998,N,1,630699,,2020-08-17 00:28:11 EDT
336306998,N,6,623095,,2020-08-17 00:28:11 EDT
336307186,N,1,627378,,2020-08-17 00:28:11 EDT
336307186,N,6,655245,,2020-08-17 00:28:11 EDT
336307384,N,1,630738,,2020-08-17 00:28:11 EDT
336307780,N,9,IMMINENT,,2020-08-17 00:28:11 EDT
336307780,N,1,630778,,2020-08-17 00:28:11 EDT
336307780,N,1,631558,,2020-08-17 00:28:11 EDT
336307780,N,14,"FOCUS,S",,2020-08-17 00:28:11 EDT
336307988,N,1,618518,,2020-08-17 00:28:11 EDT
336309182,N,1,630738,,2020-08-17 00:28:11 EDT
336309182,N,1,630918,,2020-08-17 00:28:11 EDT
336309596,N,1,630959,,2020-08-17 00:28:11 EDT
336309984,N,1,630998,,2020-08-17 00:28:11 EDT
336310180,N,1,631018,,2020-08-17 00:28:11 EDT
336310396,N,1,631039,,2020-08-17 00:28:11 EDT
336310982,N,1,618518,,2020-08-17 00:28:11 EDT
336310982,N,6,704607,,2020-08-17 00:28:11 EDT
336311584,N,1,NNNNNNNNN,,2020-08-17 00:28:11 EDT
336311980,N,1,631198,,2020-08-17 00:28:11 EDT
336312194,N,6,539925,,2020-08-17 00:28:11 EDT
336312194,N,1,631219,,2020-08-17 00:28:11 EDT
336312996,N,16,RESCON,,2020-08-17 00:28:11 EDT
336313184,N,6,704607,,2020-08-17 00:28:11 EDT
336313184,N,1,618518,,2020-08-17 00:28:11 EDT
336313382,N,16,RESCON,,2020-08-17 00:28:11 EDT
336313408,N,1,631340,,2020-08-17 00:28:11 EDT
336313986,N,16,SINGFAM,,2020-08-17 00:28:11 EDT
336314398,N,1,631340,,2020-08-17 00:28:11 EDT
336314786,N,6,423275,,2020-08-17 00:28:11 EDT
336314786,N,1,631478,,2020-08-17 00:28:11 EDT
336315387,N,6,123456,,2020-08-17 00:28:11 EDT
336315585,N,1,631558,,2020-08-17 00:28:11 EDT
336315585,N,9,IMMINENT,,2020-08-17 00:28:11 EDT
336315791,N,1,631579,,2020-08-17 00:28:11 EDT
336315791,N,6,123456,,2020-08-17 00:28:11 EDT
336315981,N,1,631598,,2020-08-17 00:28:11 EDT
336315981,N,6,631598,,2020-08-17 00:28:11 EDT
336316203,N,6,453387,,2020-08-17 00:28:11 EDT
336316393,N,16,VIOLENCE,,2020-08-17 00:28:11 EDT
336318183,N,6,CONSTR. DATES,,2020-08-17 00:28:11 EDT
336318183,N,1,631818,,2020-08-17 00:28:11 EDT
336318985,N,6,671402,,2020-08-17 00:28:11 EDT
336319587,N,6,539925,,2020-08-17 00:28:11 EDT
336319587,N,1,631219,,2020-08-17 00:28:11 EDT
336319793,N,1,631979,,2020-08-17 00:28:11 EDT
336319983,N,1,631998,,2020-08-17 00:28:11 EDT
