activity_nr,rel_type,rel_act_nr,rel_safety,rel_health,load_dt
344633839,C,1510925,,X,2020-08-17 00:28:26 EDT
344633854,R,1544576,X,,2020-08-17 00:28:26 EDT
344633888,R,1544645,X,,2020-08-17 00:28:26 EDT
344633896,R,1544587,X,,2020-08-17 00:28:26 EDT
344633904,C,1532387,X,,2020-08-17 00:28:26 EDT
344633912,C,1543042,,X,2020-08-17 00:28:26 EDT
344633912,C,1543042,X,,2020-08-17 00:28:26 EDT
344633920,R,1541848,X,,2020-08-17 00:28:26 EDT
344633938,R,1544666,X,,2020-08-17 00:28:26 EDT
344633953,C,1543212,X,,2020-08-17 00:28:26 EDT
344633961,R,1542247,X,,2020-08-17 00:28:26 EDT
344633979,C,1536993,,X,2020-08-17 00:28:26 EDT
344633979,C,1536993,X,,2020-08-17 00:28:26 EDT
344633987,R,1544652,X,,2020-08-17 00:28:26 EDT
344634001,C,1544403,X,,2020-08-17 00:28:26 EDT
344634027,A,1542389,,,2020-08-17 00:28:26 EDT
344634043,R,1544676,X,,2020-08-17 00:28:26 EDT
344634050,C,1543881,X,,2020-08-17 00:28:26 EDT
344634068,R,1544683,X,,2020-08-17 00:28:26 EDT
344634076,C,1544711,X,,2020-08-17 00:28:26 EDT
344634092,C,1487320,X,,2020-08-17 00:28:26 EDT
344634092,C,1487320,,X,2020-08-17 00:28:26 EDT
344634100,R,1540960,X,,2020-08-17 00:28:26 EDT
344634118,C,1542167,X,,2020-08-17 00:28:26 EDT
344634134,R,1544160,X,,2020-08-17 00:28:26 EDT
344634142,C,1542366,X,,2020-08-17 00:28:26 EDT
344634167,C,1543084,X,,2020-08-17 00:28:26 EDT
344634175,C,1544699,X,,2020-08-17 00:28:26 EDT
344634191,C,1543147,,X,2020-08-17 00:28:26 EDT
344634191,C,1543147,X,,2020-08-17 00:28:26 EDT
344634217,R,1542834,X,,2020-08-17 00:28:26 EDT
344634241,R,1541252,X,,2020-08-17 00:28:26 EDT
344634258,A,1515197,,,2020-08-17 00:28:26 EDT
344634266,C,1543561,,X,2020-08-17 00:28:26 EDT
344634274,C,1542747,X,,2020-08-17 00:28:26 EDT
344634282,R,1543685,,X,2020-08-17 00:28:26 EDT
344634316,C,1542225,X,,2020-08-17 00:28:26 EDT
344634324,C,1544525,X,,2020-08-17 00:28:26 EDT
344634332,C,1528588,X,,2020-08-17 00:28:26 EDT
344634340,C,1542201,X,,2020-08-17 00:28:26 EDT
344634340,C,1542201,,X,2020-08-17 00:28:26 EDT
344634357,C,1540525,,X,2020-08-17 00:28:26 EDT
344634381,C,1544343,X,,2020-08-17 00:28:26 EDT
344634423,R,1543504,X,,2020-08-17 00:28:26 EDT
344634431,R,1544752,X,,2020-08-17 00:28:26 EDT
344634449,R,1544621,X,,2020-08-17 00:28:26 EDT
344634472,A,1536011,,,2020-08-17 00:28:26 EDT
344634506,I,1455365,,,2020-08-17 00:28:26 EDT
344634522,C,1543349,,X,2020-08-17 00:28:26 EDT
344634522,A,1546989,,,2020-08-17 00:28:26 EDT
