activity_nr,prog_type,prog_value,load_dt
344727433,S,HHPI,2020-08-17 00:29:01 EDT
344727441,S,HHPI,2020-08-17 00:29:01 EDT
344727656,P,ASBESTOS,2020-08-17 00:29:01 EDT
344727656,S,ASBESTOS,2020-08-17 00:29:01 EDT
344727664,P,ASBESTOS,2020-08-17 00:29:01 EDT
344727664,S,ASBESTOS,2020-08-17 00:29:01 EDT
344727680,P,CONSTR,2020-08-17 00:29:01 EDT
344727680,S,CONSTR,2020-08-17 00:29:01 EDT
344727730,L,FALL,2020-08-17 00:29:01 EDT
344727748,L,FALL,2020-08-17 00:29:01 EDT
344727797,P,RESCON,2020-08-17 00:29:01 EDT
344727797,S,RESCON,2020-08-17 00:29:01 EDT
344727870,N,AMPUTATE,2020-08-17 00:29:01 EDT
344727888,L,OILGAS,2020-08-17 00:29:01 EDT
344727888,L,CONSTR6,2020-08-17 00:29:01 EDT
344727912,S,RESCON,2020-08-17 00:29:01 EDT
344727938,L,FALL,2020-08-17 00:29:01 EDT
344727946,P,RESCON,2020-08-17 00:29:01 EDT
344727946,S,RESCON,2020-08-17 00:29:01 EDT
344727979,L,HLTHCARE6,2020-08-17 00:29:01 EDT
344727987,S,FALL,2020-08-17 00:29:01 EDT
344727995,L,FALL,2020-08-17 00:29:01 EDT
344727995,P,FALL,2020-08-17 00:29:01 EDT
344728019,L,FALL,2020-08-17 00:29:01 EDT
344728035,N,AMPUTATE,2020-08-17 00:29:01 EDT
344728043,L,FALL,2020-08-17 00:29:01 EDT
344728050,S,FALL,2020-08-17 00:29:01 EDT
344728100,S,HH,2020-08-17 00:29:01 EDT
344728126,S,FALL,2020-08-17 00:29:01 EDT
344728167,S,HIGHHAZD,2020-08-17 00:29:01 EDT
344728191,N,CTARGET,2020-08-17 00:29:01 EDT
344728225,N,TRENCH,2020-08-17 00:29:01 EDT
344728233,P,HHUNIT,2020-08-17 00:29:01 EDT
344728233,S,HHUNIT,2020-08-17 00:29:01 EDT
344728258,N,DUSTEXPL,2020-08-17 00:29:01 EDT
344728282,L,HLTHCARE6,2020-08-17 00:29:01 EDT
344728290,L,CRANE,2020-06-06 04:01:13 EDT
344728290,L,FALL,2020-06-06 04:01:13 EDT
344728357,S,FIRE,2020-08-17 00:29:01 EDT
344728431,S,FALL,2020-08-17 00:29:01 EDT
344728449,S,FALL,2020-08-17 00:29:01 EDT
344728522,S,PESTICIDE,2020-08-17 00:29:01 EDT
344728522,P,PESTICIDE,2020-08-17 00:29:01 EDT
344728621,P,FALL,2020-08-17 00:29:01 EDT
344728621,S,CRSHSTRK,2020-08-17 00:29:01 EDT
344728621,S,FALL,2020-08-17 00:29:01 EDT
344728647,L,CONSTR6,2020-08-17 00:29:01 EDT
344728647,P,CONSTR6,2020-08-17 00:29:01 EDT
344728662,L,HLTHCARE6,2020-08-17 00:29:01 EDT
344728670,L,FALL,2020-08-17 00:29:01 EDT
344728670,P,FALL,2020-08-17 00:29:01 EDT
344728688,L,ELECGI,2020-08-17 00:29:01 EDT
344728704,P,ASBESTOS,2020-08-17 00:29:01 EDT
344728704,S,ASBESTOS,2020-08-17 00:29:01 EDT
344728712,S,HH,2020-08-17 00:29:01 EDT
344728738,L,FALL,2020-08-17 00:29:01 EDT
344728738,P,FALL,2020-08-17 00:29:01 EDT
344728746,P,FRI,2020-08-17 00:29:01 EDT
344728746,S,FRI,2020-08-17 00:29:01 EDT
344728753,L,SANDY,2020-08-17 00:29:01 EDT
344728753,N,TRENCH,2020-08-17 00:29:01 EDT
344728753,P,TRENCH,2020-08-17 00:29:01 EDT
344728795,L,FALL,2020-08-17 00:29:01 EDT
344728803,L,EISAOF,2020-08-17 00:29:01 EDT
344728803,L,FALL,2020-08-17 00:29:01 EDT
344728860,L,EISAOF,2020-08-17 00:29:01 EDT
344728860,L,FALL,2020-08-17 00:29:01 EDT
344728886,L,FALL,2020-08-17 00:29:01 EDT
344728902,N,AMPUTATE,2020-08-17 00:29:01 EDT
344728902,S,AMPUTATE,2020-08-17 00:29:01 EDT
344728951,L,XFALLELEC,2020-08-17 00:29:01 EDT
344728951,P,XFALLELEC,2020-08-17 00:29:01 EDT
344728969,L,FALL,2020-08-17 00:29:01 EDT
344728985,N,AMPUTATE,2020-08-17 00:29:01 EDT
344728985,S,AMPUTATE,2020-08-17 00:29:01 EDT
344729041,N,CTARGET,2020-08-17 00:29:01 EDT
344729041,P,CTARGET,2020-08-17 00:29:01 EDT
344729041,S,SCAFFOLD,2020-08-17 00:29:01 EDT
344729066,S,ASBESTOS,2020-08-17 00:29:01 EDT
344729074,L,FORKLIFT,2020-08-17 00:29:01 EDT
344729108,L,FORKLIFT,2020-08-17 00:29:01 EDT
344729165,S,OILDRILLSERV,2020-08-17 00:29:01 EDT
344729181,L,LONGSHORE,2020-08-17 00:29:01 EDT
344729181,L,FISH,2020-08-17 00:29:01 EDT
344729181,P,LONGSHORE,2020-08-17 00:29:01 EDT
344729181,L,CRANE,2020-08-17 00:29:01 EDT
344729223,L,FALL,2020-08-17 00:29:01 EDT
344729223,P,FALL,2020-08-17 00:29:01 EDT
344729249,L,HLTHCARE6,2020-08-17 00:29:01 EDT
